V_GS,V_DS,I_DS
0.0,0.0,6.499139e-11
0.0,0.2,2.99192e-12
0.0,0.4,3.19906e-12
0.0,0.6000000000000001,3.399788e-12
0.0,0.8,3.599924e-12
0.0,1.0,3.800024e-12
0.0,1.2,4.000049e-12
0.0,1.4,4.200037e-12
0.0,1.6,4.400099e-12
0.0,1.8,4.600087e-12
0.0,2.0,4.800076e-12
0.0,2.2,5.000064e-12
0.0,2.4,5.200052e-12
0.0,2.6,5.399892e-12
0.0,2.8,5.59988e-12
0.0,3.0,5.799868e-12
0.0,3.2,5.999856e-12
0.0,3.4,6.199993e-12
0.0,3.6,6.399833e-12
0.0,3.8,6.599969e-12
0.0,4.0,6.799809e-12
0.0,4.2,6.999797e-12
0.0,4.4,7.199638e-12
0.0,4.600000000000001,7.399774e-12
0.0,4.800000000000001,7.59991e-12
0.0,5.0,7.79975e-12
0.0,5.2,7.999591e-12
0.0,5.4,8.199726e-12
0.0,5.600000000000001,8.399862e-12
0.0,5.800000000000001,8.599703e-12
0.0,6.0,8.799543e-12
0.0,6.2,8.999975e-12
0.0,6.4,9.199815e-12
0.0,6.600000000000001,9.399656e-12
0.0,6.800000000000001,9.599791e-12
0.0,7.0,9.799928e-12
0.0,7.2,9.999768e-12
0.0,7.4,1.019961e-11
0.0,7.600000000000001,1.039974e-11
0.0,7.800000000000001,1.059958e-11
0.0,8.0,1.079972e-11
0.0,8.200000000000001,1.099986e-11
0.0,8.4,1.119999e-11
0.0,8.6,1.139954e-11
0.0,8.8,1.159967e-11
0.0,9.0,1.179922e-11
0.0,9.200000000000001,1.199935e-11
0.0,9.4,1.219949e-11
0.0,9.600000000000001,1.239963e-11
0.0,9.8,1.259976e-11
0.0,10.0,1.27999e-11
0.2,0.0,-1.527339e-28
0.2,0.2,2.995314e-12
0.2,0.4,3.202454e-12
0.2,0.6000000000000001,3.403182e-12
0.2,0.8,3.603318e-12
0.2,1.0,3.803418e-12
0.2,1.2,4.003443e-12
0.2,1.4,4.203431e-12
0.2,1.6,4.403493e-12
0.2,1.8,4.603481e-12
0.2,2.0,4.803469e-12
0.2,2.2,5.003458e-12
0.2,2.4,5.203446e-12
0.2,2.6,5.403286e-12
0.2,2.8,5.603274e-12
0.2,3.0,5.803262e-12
0.2,3.2,6.00325e-12
0.2,3.4,6.203387e-12
0.2,3.6,6.403227e-12
0.2,3.8,6.603363e-12
0.2,4.0,6.803203e-12
0.2,4.2,7.003191e-12
0.2,4.4,7.203032e-12
0.2,4.600000000000001,7.403167e-12
0.2,4.800000000000001,7.603304e-12
0.2,5.0,7.803144e-12
0.2,5.2,8.002985e-12
0.2,5.4,8.20312e-12
0.2,5.600000000000001,8.403256e-12
0.2,5.800000000000001,8.603097e-12
0.2,6.0,8.802937e-12
0.2,6.2,9.003369e-12
0.2,6.4,9.203209e-12
0.2,6.600000000000001,9.40305e-12
0.2,6.800000000000001,9.603185e-12
0.2,7.0,9.803322e-12
0.2,7.2,1.000316e-11
0.2,7.4,1.0203e-11
0.2,7.600000000000001,1.040314e-11
0.2,7.800000000000001,1.060298e-11
0.2,8.0,1.080311e-11
0.2,8.200000000000001,1.100325e-11
0.2,8.4,1.120339e-11
0.2,8.6,1.140293e-11
0.2,8.8,1.160307e-11
0.2,9.0,1.180261e-11
0.2,9.200000000000001,1.200275e-11
0.2,9.4,1.220288e-11
0.2,9.600000000000001,1.240302e-11
0.2,9.8,1.260316e-11
0.2,10.0,1.280329e-11
0.4,0.0,-1.527339e-28
0.4,0.2,3.180612e-12
0.4,0.4,3.387752e-12
