V_DS	Id(M1)
Step Information: V_GS=0  (Step: 1/41)
0.000000000000000e+00	6.499139e-11
2.000000000000000e-01	2.991920e-12
4.000000000000000e-01	3.199060e-12
6.000000000000001e-01	3.399788e-12
8.000000000000000e-01	3.599924e-12
1.000000000000000e+00	3.800024e-12
1.200000000000000e+00	4.000049e-12
1.400000000000000e+00	4.200037e-12
1.600000000000000e+00	4.400099e-12
1.800000000000000e+00	4.600087e-12
2.000000000000000e+00	4.800076e-12
2.200000000000000e+00	5.000064e-12
2.400000000000000e+00	5.200052e-12
2.600000000000000e+00	5.399892e-12
2.800000000000000e+00	5.599880e-12
3.000000000000000e+00	5.799868e-12
3.200000000000000e+00	5.999856e-12
3.400000000000000e+00	6.199993e-12
3.600000000000000e+00	6.399833e-12
3.800000000000000e+00	6.599969e-12
4.000000000000000e+00	6.799809e-12
4.200000000000000e+00	6.999797e-12
4.400000000000000e+00	7.199638e-12
4.600000000000001e+00	7.399774e-12
4.800000000000001e+00	7.599910e-12
5.000000000000000e+00	7.799750e-12
5.200000000000000e+00	7.999591e-12
5.400000000000000e+00	8.199726e-12
5.600000000000001e+00	8.399862e-12
5.800000000000001e+00	8.599703e-12
6.000000000000000e+00	8.799543e-12
6.200000000000000e+00	8.999975e-12
6.400000000000000e+00	9.199815e-12
6.600000000000001e+00	9.399656e-12
6.800000000000001e+00	9.599791e-12
7.000000000000000e+00	9.799928e-12
7.200000000000000e+00	9.999768e-12
7.400000000000000e+00	1.019961e-11
7.600000000000001e+00	1.039974e-11
7.800000000000001e+00	1.059958e-11
8.000000000000000e+00	1.079972e-11
8.200000000000001e+00	1.099986e-11
8.400000000000000e+00	1.119999e-11
8.600000000000000e+00	1.139954e-11
8.800000000000001e+00	1.159967e-11
9.000000000000000e+00	1.179922e-11
9.200000000000001e+00	1.199935e-11
9.400000000000000e+00	1.219949e-11
9.600000000000001e+00	1.239963e-11
9.800000000000001e+00	1.259976e-11
1.000000000000000e+01	1.279990e-11
Step Information: V_GS=200m  (Step: 2/41)
0.000000000000000e+00	-1.527339e-28
2.000000000000000e-01	2.995314e-12
4.000000000000000e-01	3.202454e-12
6.000000000000001e-01	3.403182e-12
8.000000000000000e-01	3.603318e-12
1.000000000000000e+00	3.803418e-12
1.200000000000000e+00	4.003443e-12
1.400000000000000e+00	4.203431e-12
1.600000000000000e+00	4.403493e-12
1.800000000000000e+00	4.603481e-12
2.000000000000000e+00	4.803469e-12
2.200000000000000e+00	5.003458e-12
2.400000000000000e+00	5.203446e-12
2.600000000000000e+00	5.403286e-12
2.800000000000000e+00	5.603274e-12
3.000000000000000e+00	5.803262e-12
3.200000000000000e+00	6.003250e-12
3.400000000000000e+00	6.203387e-12
3.600000000000000e+00	6.403227e-12
3.800000000000000e+00	6.603363e-12
4.000000000000000e+00	6.803203e-12
4.200000000000000e+00	7.003191e-12
4.400000000000000e+00	7.203032e-12
4.600000000000001e+00	7.403167e-12
4.800000000000001e+00	7.603304e-12
5.000000000000000e+00	7.803144e-12
5.200000000000000e+00	8.002985e-12
5.400000000000000e+00	8.203120e-12
5.600000000000001e+00	8.403256e-12
5.800000000000001e+00	8.603097e-12
6.000000000000000e+00	8.802937e-12
6.200000000000000e+00	9.003369e-12
6.400000000000000e+00	9.203209e-12
6.600000000000001e+00	9.403050e-12
6.800000000000001e+00	9.603185e-12
7.000000000000000e+00	9.803322e-12
7.200000000000000e+00	1.000316e-11
7.400000000000000e+00	1.020300e-11
7.600000000000001e+00	1.040314e-11
7.800000000000001e+00	1.060298e-11
8.000000000000000e+00	1.080311e-11
8.200000000000001e+00	1.100325e-11
8.400000000000000e+00	1.120339e-11
8.600000000000000e+00	1.140293e-11
8.800000000000001e+00	1.160307e-11
9.000000000000000e+00	1.180261e-11
9.200000000000001e+00	1.200275e-11
9.400000000000000e+00	1.220288e-11
9.600000000000001e+00	1.240302e-11
9.800000000000001e+00	1.260316e-11
1.000000000000000e+01	1.280329e-11
Step Information: V_GS=400m  (Step: 3/41)
0.000000000000000e+00	-1.527339e-28
2.000000000000000e-01	3.180612e-12
4.000000000000000e-01	3.387752e-12
6.000000000000001e-01	3.588480e-12
8.000000000000000e-01	3.788617e-12
1.000000000000000e+00	3.988716e-12
1.200000000000000e+00	4.188741e-12
1.400000000000000e+00	4.388729e-12
1.600000000000000e+00	4.588792e-12
1.800000000000000e+00	4.788780e-12
2.000000000000000e+00	4.988768e-12
2.200000000000000e+00	5.188756e-12
2.400000000000000e+00	5.388744e-12
2.600000000000000e+00	5.588584e-12
2.800000000000000e+00	5.788572e-12
